agent,density,seed,mean_speed_mps,episode_length_steps,episode_length_s,distance_m,collided,reached_end,truncated,lane_changes,lane_changes_per_min,jerk_rms,near_miss_steps,near_miss_rate,return_total
default,low,0,37.0631970260223,269,26.900000000000002,997.0,False,True,False,1,2.2304832713754643,0.15242769021242308,0,0.0,257.2654653989345
default,low,1,31.198155368815435,320,32.0,998.3409718020949,False,True,False,1,1.875,0.9123190630479973,238,0.74375,151.76806103806797
default,low,2,33.632259747474684,297,29.700000000000003,998.8781144999929,False,True,False,1,2.0202020202020203,0.10513344806652543,0,0.0,279.3186901289263
default,low,3,34.594075294117545,289,28.900000000000002,999.7687760000039,False,True,False,1,2.0761245674740483,0.11534152716724919,0,0.0,277.4654653989343
default,low,4,34.83600998601397,286,28.6,996.3098856000034,False,True,False,1,2.0979020979020975,0.13416546452544784,0,0.0,274.43546539893435
default,medium,0,32.67580029427263,305,30.5,996.6119089753157,False,True,False,1,1.9672131147540985,0.7130007568193689,266,0.8721311475409836,138.7078030778381
default,medium,1,34.66070785390678,288,28.8,998.2283861925142,False,True,False,1,2.0833333333333335,0.3482693748879604,5,0.017361111111111112,272.4337101443975
default,medium,2,29.841208507048087,335,33.5,999.6804849861051,False,True,False,1,1.791044776119403,0.5832956406110731,167,0.49850746268656715,191.77110940728141
default,medium,3,34.594075294117545,289,28.900000000000002,999.7687760000039,False,True,False,1,2.0761245674740483,0.11534152716724919,0,0.0,277.4654653989343
default,medium,4,31.995991118359854,312,31.200000000000003,998.2749228928274,False,True,False,1,1.923076923076923,0.782283509319529,299,0.9583333333333334,121.8907979128878
default,high,0,30.8129839578072,324,32.4,998.3406802329537,False,True,False,1,1.8518518518518519,0.823822877333144,210,0.6481481481481481,159.7900802622718
default,high,1,33.69994752875162,296,29.6,997.5184468510485,False,True,False,1,2.0270270270270268,0.5595506289278296,134,0.4527027027027027,206.48802836370777
default,high,2,22.650568012269122,21,2.1,47.56619282576515,True,False,False,1,28.57142857142857,0.4311021735260263,21,1.0,-47.43066240115198
default,high,3,32.77929568812308,304,30.400000000000002,996.4905889189424,False,True,False,1,1.9736842105263157,0.6577863817021264,230,0.756578947368421,157.45355091855876
default,high,4,30.933521380259464,323,32.300000000000004,999.1527405823815,False,True,False,1,1.8575851393188851,1.0545236359436978,292,0.9040247678018576,122.64805930439601
safety_heavy,low,0,37.0631970260223,269,26.900000000000002,997.0,False,True,False,1,2.2304832713754643,0.15242769021242308,0,0.0,257.2654653989345
safety_heavy,low,1,34.76499245993048,287,28.700000000000003,997.7552836000025,False,True,False,1,2.090592334494773,0.11187174044771708,0,0.0,275.44546539893435
safety_heavy,low,2,33.632259747474684,297,29.700000000000003,998.8781144999929,False,True,False,1,2.0202020202020203,0.10513344806652543,0,0.0,279.3186901289263
safety_heavy,low,3,34.594075294117545,289,28.900000000000002,999.7687760000039,False,True,False,1,2.0761245674740483,0.11534152716724919,0,0.0,277.4654653989343
safety_heavy,low,4,34.83600998601397,286,28.6,996.3098856000034,False,True,False,1,2.0979020979020975,0.13416546452544784,0,0.0,274.43546539893435
safety_heavy,medium,0,32.67580029427263,305,30.5,996.6119089753157,False,True,False,1,1.9672131147540985,0.7130007568193689,266,0.8721311475409836,138.7078030778381
safety_heavy,medium,1,34.66070785390678,288,28.8,998.2283861925142,False,True,False,1,2.0833333333333335,0.3482693748879604,5,0.017361111111111112,272.4337101443975
safety_heavy,medium,2,29.832445350012154,334,33.4,996.4036746903998,False,True,False,1,1.7964071856287425,0.5184586530948704,170,0.5089820359281437,189.85866768640494
safety_heavy,medium,3,34.594075294117545,289,28.900000000000002,999.7687760000039,False,True,False,1,2.0761245674740483,0.11534152716724919,0,0.0,277.4654653989343
safety_heavy,medium,4,31.995991118359854,312,31.200000000000003,998.2749228928274,False,True,False,1,1.923076923076923,0.782283509319529,299,0.9583333333333334,121.8907979128878
safety_heavy,high,0,30.815516052023206,324,32.4,998.4227200855506,False,True,False,1,1.8518518518518519,0.7694967420270682,200,0.6172839506172839,165.022914031867
safety_heavy,high,1,33.69629574001697,296,29.6,997.4103539045032,False,True,False,1,2.0270270270270268,0.5495354235348155,135,0.4560810810810811,206.22766490208767
safety_heavy,high,2,29.76760472075891,335,33.5,997.214758145424,False,True,False,1,1.791044776119403,0.7509922313034486,243,0.7253731343283583,149.7681444199219
safety_heavy,high,3,32.77714710780089,304,30.400000000000002,996.4252720771468,False,True,False,1,1.9736842105263157,0.7153041084447587,251,0.8256578947368421,146.25247811371455
safety_heavy,high,4,30.933521380259464,323,32.300000000000004,999.1527405823815,False,True,False,1,1.8575851393188851,1.0545236359436978,292,0.9040247678018576,122.64805930439601
speed_heavy,low,0,37.0631970260223,269,26.900000000000002,997.0,False,True,False,1,2.2304832713754643,0.15242769021242308,0,0.0,257.2654653989345
speed_heavy,low,1,34.76499245993048,287,28.700000000000003,997.7552836000025,False,True,False,1,2.090592334494773,0.11187174044771708,0,0.0,275.44546539893435
speed_heavy,low,2,33.632259747474684,297,29.700000000000003,998.8781144999929,False,True,False,1,2.0202020202020203,0.10513344806652543,0,0.0,279.3186901289263
speed_heavy,low,3,34.594075294117545,289,28.900000000000002,999.7687760000039,False,True,False,1,2.0761245674740483,0.11534152716724919,0,0.0,277.4654653989343
speed_heavy,low,4,34.83600998601397,286,28.6,996.3098856000034,False,True,False,1,2.0979020979020975,0.13416546452544784,0,0.0,274.43546539893435
speed_heavy,medium,0,32.67580029427263,305,30.5,996.6119089753157,False,True,False,1,1.9672131147540985,0.7130007568193689,266,0.8721311475409836,138.7078030778381
speed_heavy,medium,1,34.66070785390678,288,28.8,998.2283861925142,False,True,False,1,2.0833333333333335,0.3482693748879604,5,0.017361111111111112,272.4337101443975
